등록번호,서명,저자,발행자,청구기호,ISBN
BN0000028668,행복한 가족 ,파브리치오 실레이 글 ; 최정윤 옮김,아르테,883-실레이행,9791171172085 
BN0000028667,행복의 충격 ,김화영 지음,문학동네,814.7-김화영행,9788954618748 
BN0000028666,행복의 나락 ,F. 스콧 피츠제럴드 지음 ; 조이스 박 옮김,녹색광선,843.5-피츠제행,9791196554842 
BN0000028664,행복 : Omer Z. 리반엘리 장편소설 ,Omer Z. 리반엘리 지음 ; 고영범 옮김,가쎄,839.4-리반엘행,9791191192636 
BN0000027591,아이 엠 낫 유어 니그로 ,"제임스 볼드윈 , 라울 펙 지음 ; 김희숙 옮김",모던아카이브,842-볼드윈아,9791187056430 
BN0000027586,아베르노 ,루이즈 글릭 지음 ; 정은귀 옮김,시공사,"841-글릭,아",9791169252744 
BN0000027583,아버지들의 아버지 . 2 : 베르나르 베르베르 장편소설 ,베르나르 베르베르 지음 ; 이세욱 옮김,열린책들,864-베르베아-v.2,9788932903873 
BN0000027582,아버지들의 아버지 . 1 : 베르나르 베르베르 장편소설 ,베르나르 베르베르 지음 ; 이세욱 옮김,열린책들,864-베르베아-v.1,9788932903866 
BN0000027574,아무것도 아닌 빛 : 정영선 장편소설 ,정영선 지음,강,813.7-정영선아,9788982183157 
BN0000027554,"아름다운 시작, 일상 정원 ",이명희 지음,사람의무늬,525.92-이명희아,9791155504307 
BN0000027551,아르키메데스는 손을 더럽히지 않는다 : 순수와 당위로 의도 없이 만들어진 미스터리 ,고미네 하지메 지음 ; 민경욱 옮김,하빌리스,833.6-고미네아,9791169448550 
BN0000027548,(여행을 통해 내 삶의 유산을 남겨주는)아들과 아버지의 시간 ,박석현 지음,바이북스,816.7-박석현아,9791158771874 
BN0000027547,아니 에르노 : 이브토로 돌아가다 ,아니 에르노 지음 ; 정혜용 옮김,사람의집:,864-에르노아,9788932923369 
BN0000027546,아니 근데 그게 맞아? : 요즘 대중문화 긁어보기 ,이진송 지음,상상,818-이진송아,9791167820945 
BN0000027545,아노말리 : 에르베 르 텔리에 장편소설 ,에르베 르 텔리에 지음 ; 이세진 옮김,민음사,863-텔리에아,9788937427220 
BN0000027538,쓰면서 사랑하게 된 날들 : 아이와 내 삶의 레시피 ,춤추는바람 지음,르비빔,814.7-춤추는쓰,9788939885028 
BN0000027536,쓰기의 쓸모 : 가끔 어쩌면 자주 쓰기가 필요하니까요 ,양지영 지음,더디퍼런스,802-양지영쓰,9791161253657 
BN0000027531,싱커 = Syncher : 배미주 장편소설 ,배미주 지음,창비,813.7-배미주싱,9788936434588 
BN0000027528,실버뷰 : 존 르 카레 장편소설 ,존 르 카레 지음 ; 조영학 옮김,알에이치코리아,"843.6-카레,실",9788925577081 
BN0000027527,"실례지만, 이 책이 시급합니다 ",이수은 지음,민음사,818-이수은실,9788937479946 
BN0000027524,신의 숨겨진 얼굴 ,후지사키 쇼 지음 ; 김은모 옮김,엘릭시르,833.6-후지사신,9788954691567 
BN0000027297,사랑하는 예술에게 = To my beloved art : 세상의 모든 여자에게 보내는 마흔 곡의 플레이리스트와 에세이 ,임에스더 지음,르비빔,818-임에스사,9788939844735 
BN0000027289,사랑의 여름 : 김은 소설 ,김은 지음,자음과모음,"813.7-김은,사",9788954449281 
BN0000027285,사랑은 사랑으로 돌아옵니다 : 정목스님과 함께하는 행복한 마음 연습 ,정목 지음,김영사,"220.4-정목,사",9788934910848 
BN0000026291,고독한 얼굴 ,제임스 설터 지음 ; 서창렬 옮김,마음산책,"843.6-설터,고",9788960907492 
BN0000026288,고도일보 송가을인데요 : 송경화 장편소설 ,송경화 지음,한겨레,813.7-송경화고,9791160404555 
BN0000026238,개포동 김갑수씨의 사정;허지웅 소설 ,허지웅 지음,아우름,813.7-허지웅개,9788954624060 
BN0000026235,개의 목적 : 베일리 어게인 ,W. 브루스 카메론 지음 ; 이창희 옮김,페티앙북스,843.6-카메론개,9791195500963 
BN0000026234,"개미 . 5 , 제3부 개미혁명 : 베르나르 베르베르 장편소설 ",베르나르 베르베르 지음 ; 이세욱 옮김,열린책들,863-베르베개-v.5,9788932923628 
BN0000026233,"개미 . 4 , 제3부 개미혁명 : 베르나르 베르베르 장편소설 ",베르나르 베르베르 지음 ; 이세욱 옮김,열린책들,863-베르베개-v.4,9788932923611 
BN0000026232,"개미 . 3 , 제2부 개미의 날 : 베르나르 베르베르 장편소설 ",베르나르 베르베르 지음 ; 이세욱 옮김,열린책들,863-베르베개-v.3,9788932923604 
BN0000026231,"개미 . 2 , 제2부 개미의 날 : 베르나르 베르베르 장편소설 ",베르나르 베르베르 지음 ; 이세욱 옮김,열린책들,863-베르베개-v.2,9788932923598 
BN0000026227,강한 견해 : 설재인 장편소설 ,설재인 지음,아작,813.7-설재인강,9791166686948 
BN0000026207,가을에 온 여인 : 박경리 장편소설 ,박경리 지음,다산책방,813.6-박경리가,9791130649481 
BN0000026205,가여운 것들 ,앨러스데어 그레이 지음 ; 이윤경 옮김,황금가지,843.6-그레이가,9791170522690 
BN0000026200,가벼운 고백 : 김영민 단문집 ,김영민 지음,김영사,818-김영민가,9788934920892 
BN0000026197,가난한 처녀들 ,뮤리얼 스파크 지음 ; 김재욱 옮김,앨피,843.6-스파크가,9791192647364 
BN0000026196,가난한 사랑의 미래 : 이아타 장편소설 ,이아타 지음,고즈넉이엔티,813.7-이아타가,9791163165866 
BN0000026194,SF 김승옥 : 59년 후 디 파이 나인 기자의 어느 날 ,"김승옥 , 김학찬 , 윤이안지음",아르띠잔,813.7-김승옥에,9791197137815 
BN0000026193,(Save the cat!)나의 첫 소설 쓰기 : 아이디어를 소설로 빚어내기 위한 15가지 법칙 ,제시카 브로디 지음 ; 정지현 옮김,타인의사유,802.3-브로디나,9791136291288 
BN0000026174,40일간의 남미 일주 : 최민석 에세이 ,최민석 지음,해냄,985.02-최민석사,9788965749479 
BN0000026172,3부작 : 욘 포세 연작소설 ,욘 포세 지음 ; 홍재웅 옮김,새움,"859.82-포세,삼",9791189271923 
BN0000026168,2년 8개월 28일 밤 : 살만 루슈디 장편소설 ,살만 루슈디 지음 ; 김진준 옮김,문학동네,843.5-루슈디이,9788954676762 
BN0000026164,247의 모든 것 : 김희선 장편소설 ,김희선 지음,은행나무,813.7-김희선이,9791167374233 
BN0000026163,210번관에 어서오세요 ,카노 토모코 글 ; 김진희 옮김,타나북스,833.6-카노토이,9791198631411 
BN0000026155,(2022)김승옥문학상 수상작품집 . 2022 ,"편혜영 , 김연수 , 김애란 , 정한아 , 문지혁 , 백수린 지음",문학동네,813.708-김승옥문-v.2022,9788954688697 
BN0000026151,(2020)김승옥문학상 수상작품집 . 2020 ,"김금희 , 은희경 , 권여선 , 정한아 , 최은미 , 기준영 지음",문학동네,813.708-김승옥문-v.2020,9788954674966 
BN0000026132,14일의 동거 : 정부 지침 격리 로맨스 ,레네 프로인트 지음 ; 이지윤 옮김,문학사상,853-프로인십,9788970125343 
BN0000026129,100개의 리드 : 이홍 장편소설 ,이홍 지음,민음사,"813.7-이홍,백",9788937479960 
BN0000026127,0％를 향하여 : 서이제 소설집 ,서이제 지음,문학과지성사,813.7-서이제영,9788932038933 
BN0000026120,만각 스님 ,황석영 지음,문학동네,810.81-황석영중-v.3,9788954671569 
BN0000026119,탑 ,황석영 지음,문학동네,810.81-황석영중-v.1,9788954671545 
BN0000026106,마고의 숲 : 장성유 판타지 ,장성유 지음,현북스,813.7-장성유마,9791157413843 
BN0000024297,구멍 난 기억 ,자비에-로랑 쁘띠 지음 ; 백선희 옮김,바람의아이들,808.3-반올림바-v.16,9788990878724 
BN0000024296,중학생 여러분 ,이상운 지음,바람의아이들,808.3-반올림바-v.14,9788990878632 
BN0000024295,열네살의 인턴십 ,마리 오드 뮈라이유 지음 ; 김주연 옮김,바람의아이들,808.3-반올림바-v.12,9788990878519 
BN0000024294,깨지기 쉬운 깨지지 않을 ,"김혜진 , 이경화 , 이경혜 , 이상운 , 임태희 지음",바람의아이들,808.3-반올림바-v.11,9788990878489 
BN0000024288,박물관의 글쓰기 : 전시의 처음부터 끝까지 필요한 글쓰기에 관하여 ,국립중앙박물관 ; 국립박물관문화재단 편,이케이북,069-국립중박,9791186222522 
BN0000024286,"어느 날, 정글 ",캐서린 런델 지음 ; 백현주 옮김,천개의바람,808.3-바람청천-v.8,9791187287797 
BN0000024285,"택시 소년, 지지 않는 잎 ",데보라 엘리스 글 ; 윤정숙 옮김,천개의바람,808.3-바람청천-v.7,9791187287445 
BN0000024282,지붕을 달리는 아이들 ,캐서린 런델 지음 ; 김진희 옮김,천개의바람,808.3-바람청천-v.4,9788997984633 
BN0000024281,지금은 라디오 시대 ,이보림 글,천개의바람,808.3-바람청천-v.3,9788997984411 
BN0000024204,부덴브로크 가의 사람들 . 1 ,토마스 만 지음 ; 홍성광 옮김,민음사,808-세계문민-v.56,9788937460562 
BN0000024185,캔터베리 이야기 . 2 ,"제프리 초서 지음 ; 이동일 , 이동춘 옮김",민음사,808-세계문민-v.440,9788937464409 
BN0000024183,캔터베리 이야기 . 1 ,"제프리 초서 지음 ; 이동일 , 이동춘 옮김",민음사,808-세계문민-v.439,9788937464393 
BN0000024151,독일어 시간 . 2 ,지그프리트 렌츠 지음 ; 정서웅 옮김,민음사,808-세계문민-v.41,9788937460418 
BN0000024147,세피아빛 초상 ,이사벨 아옌데 지음 ; 조영실 옮김,민음사,808-세계문민-v.406,9788937464065 
BN0000024146,청부 살인자의 성모 ,페르난도 바예호 지음 ; 송병선 옮김,민음사,808-세계문민-v.405,9788937464058 
BN0000024145,아버지와 자식 ,이반 투르게네프 지음 ; 연진희 옮김,민음사,808-세계문민-v.404,9788937464041 
BN0000024143,환락의 집 . 2 ,이디스 워튼 지음 ; 전승희 옮김,민음사,808-세계문민-v.402,9788937464027 
BN0000024142,환락의 집 . 1 ,이디스 워튼 지음 ; 전승희 옮김,민음사,808-세계문민-v.401,9788937464010 
BN0000024141,"시여, 침을 뱉어라 ",김수영 지음 ; 이영준 엮음,민음사,808-세계문민-v.400,9788937464003 
BN0000024140,독일어 시간 . 1 ,지그프리트 렌츠 지음 ; 정서웅 옮김,민음사,808-세계문민-v.40,9788937460401 
BN0000024132,서머싯 몸 단편선 . 2 ,서머싯 몸 지음 ; 황소연 옮김,민음사,808-세계문민-v.393,9788937463938 
BN0000024128,폴란드의 풍차 ,장 지오노 지음 ; 박인철 옮김,민음사,808-세계문민-v.39,9788937460395 
BN0000024127,앙리 브륄라르의 생애 ,스탕달 지음 ; 원윤수 옮김,민음사,808-세계문민-v.389,9788937463891 
BN0000024022,나누어진 하늘 ,크라스타 볼프 지음 ; 전영애 옮김,민음사,808-세계문민-v.294,9788937462948 
BN0000024016,누구를 위하여 종은 울리나 . 2 ,어니스트 헤밍웨이 지음 ; 김욱동 옮김,민음사,808-세계문민-v.289,9788937462894 
BN0000023998,푸슈킨 선집 : 희곡편·서사시 편 ,알렉산드르 푸슈킨 지음 ; 최선 옮김,민음사,808-세계문민-v.272,9788937462726 
BN0000023997,하얀 성 ,오르한 파묵 지음 ; 이난아 옮김,민음사,808-세계문민-v.271,9788937462719 
BN0000023996,베를린 알렉산더 광장 . 2 ,알프레트 되블린 지음 ; 김재혁 옮김,민음사,808-세계문민-v.270,9788937462702 
BN0000023994,베를린 알렉산더 광장 . 1 ,알프레트 되블린 지음 ; 김재혁 옮김,민음사,808-세계문민-v.269,9788937462696 
BN0000023990,뒤렌마트 희곡선 : 노부인의 방문·물리학자들 ,프리드리히 뒤렌마트 지음 ; 김혜숙 옮김,민음사,808-세계문민-v.265,9788937462658 
BN0000023989,사볼타 사건의 진실 ,에두아르도 멘도사 지음 ; 권미선 옮김,민음사,808-세계문민-v.264,9788937462641 
BN0000023988,말리나 ,잉에보르트 바흐만 지음 ; 남정애 옮김,민음사,808-세계문민-v.263,9788937462634 
BN0000023984,이피게니에·스텔라 ,"요한 볼프강 폰 괴테 지음 ; 박찬기 , 김주연 , 송윤엽 , 최민숙 , 최승수 옮김",민음사,808-세계문민-v.26,9788937460265 
BN0000023982,왕자와 거지 ,마크 트웨인 지음 ; 김욱동 옮김,민음사,808-세계문민-v.258,9788937462580 
BN0000023981,야콥을 둘러싼 추측들 ,우베 욘존 지음 ; 손대영 옮김,민음사,808-세계문민-v.257,9788937462573 
BN0000023980,경이로운 도시 . 2 ,에두아르도 멘도사 지음 ; 김현철 옮김,민음사,808-세계문민-v.256,9788937462566 
BN0000023979,경이로운 도시 . 1 ,에두아르도 멘도사 지음 ; 김현철 옮김,민음사,808-세계문민-v.255,9788937462559 
BN0000023977,폭력적인 삶 ,피에르 파올로 파솔리니 지음 ; 이승수 옮김,민음사,808-세계문민-v.253,9788937462535 
BN0000023976,의지와 운명 . 2 ,카를로스 푸엔테스 지음 ; 김현철 옮김,민음사,808-세계문민-v.252,9788937462528 
BN0000023975,의지와 운명 . 1 ,카를로스 푸엔테스 지음 ; 김현철 옮김,민음사,808-세계문민-v.251,9788937462511 
BN0000023972,위폐범들 ,앙드레 지드 지음 ; 원윤수 옮김,민음사,808-세계문민-v.249,9788937462498 
BN0000023970,누가 버지니아 울프를 두려워하랴? ,에드워드 올비 지음 ; 강유나 옮김,민음사,808-세계문민-v.247,9788937462474 
BN0000023968,파우스트 박사 . 2 : 한 친구가 이야기하는 독일 작곡가 아드리안 레버퀸의 생애 ,"토마스 만 지음 ; 임홍배 , 박병덕 옮김",민음사,808-세계문민-v.245,9788937462450 
BN0000023967,파우스트 박사 . 1 : 한 친구가 이야기하는 독일 작곡가 아드리안 레버퀸의 생애 ,"토마스 만 지음 ; 임홍배 , 박병덕 옮김",민음사,808-세계문민-v.244,9788937462443 
BN0000023965,벌집 ,카밀로 호세 셀라 지음 ; 남진희 옮김,민음사,808-세계문민-v.242,9788937462429 
BN0000023963,키메라 ,존 바스 지음 ; 이운경 옮김,민음사,808-세계문민-v.240,9788937462405 
BN0000023962,빌헬름 마이스터의 수업시대 . 2 ,요한 볼프강 폰 괴테 지음 ; 안삼환 옮김,민음사,808-세계문민-v.24,9788937460241 
BN0000023959,한 줌의 먼지 ,에벌린 워 지음 ; 안진환 옮김,민음사,808-세계문민-v.237,9788937462375 
BN0000023958,"바다여, 바다여 . 2 ",아이리스 머독 지음 ; 최옥영 옮김,민음사,808-세계문민-v.236,9788937462368 
BN0000023951,빌헬름 마이스터의 수업시대 . 1 ,요한 볼프강 폰 괴테 지음 ; 안삼환 옮김,민음사,808-세계문민-v.23,9788937460234 
BN0000023949,우리 시대의 영웅 ,미하일 레르몬토프 지음 ; 오정미 옮김,민음사,808-세계문민-v.228,9788937462283 
BN0000023948,길 위에서 . 2 ,잭 케루악 지음 ; 이만식 옮김,민음사,808-세계문민-v.227,9788937462276 
BN0000023946,시칠리아에서의 대화 ,엘리오 비토리니 지음 ; 김운찬 옮김,민음사,808-세계문민-v.225,9788937462252 
BN0000023940,파우스트 . 2 ,요한 볼프강 폰 괴테 지음 ; 정서웅 옮김,민음사,808-세계문민-v.22,9788937460227 
BN0000023936,성채 . 2 ,A. J. 크로닌 지음 ; 이은정 옮김,민음사,808-세계문민-v.216,9788937462160 
BN0000023935,성채 . 1 ,A. J. 크로닌 지음 ; 이은정 옮김,민음사,808-세계문민-v.215,9788937462153 
BN0000023931,타라스 불바 ,니콜라이 고골 지음 ; 조주관 옮김,민음사,808-세계문민-v.211,9788937462115 
BN0000023928,그레인지 코플랜드의 세 번째 인생 ,앨리스 워커 지음 ; 김시현 옮김,민음사,808-세계문민-v.209,9788937462092 
BN0000023927,더 이상 평안은 없다 ,치누아 아체베 지음 ; 브루스 오노브락페야 그림 ; 이소영 옮김,민음사,808-세계문민-v.208,9788937462085 
BN0000023926,브루스터플레이스의 여자들 ,글로리아 네일러 지음 ; 이소영 옮김,민음사,808-세계문민-v.207,9788937462078 
BN0000023921,북호텔 ,외젠 다비 지음 ; 원윤수 옮김,민음사,808-세계문민-v.202,9788937462023 
BN0000023920,요술 부지깽이 ,로버트 쿠버 지음 ; 양윤희 옮김,민음사,808-세계문민-v.201,9788937462016 
BN0000023918,한국단편문학선 . 2 ,김동리 [외]지음 ; 이남호 엮음,민음사,808-세계문민-v.20,9788937460203 
BN0000023915,소피의 선택 . 2 ,윌리엄 스타이런 지음 ; 한정아 옮김,민음사,808-세계문민-v.198,9788937461989 
BN0000023913,하드리아누스 황제의 회상록 . 2 ,마르그리트 유르스나르 지음 ; 곽광수 옮김,민음사,808-세계문민-v.196,9788937461965 
BN0000023912,하드리아누스 황제의 회상록 . 1 ,마르그리트 유르스나르 지음 ; 곽광수 옮김,민음사,808-세계문민-v.195,9788937461958 
BN0000023911,필립과 다른 사람들 ,세스 노터봄 지음 ; 지명숙 옮김,민음사,808-세계문민-v.194,9788937461941 
BN0000023910,왑샷 가문 몰락기 ,존 치버 지음 ; 김승욱 옮김,민음사,808-세계문민-v.193,9788937461934 
BN0000023908,보이지 않는 인간 . 2 ,랠프 엘리슨 지음 ; 조영환 옮김,민음사,808-세계문민-v.191,9788937461910 
BN0000023905,말 ,장폴 사르트르 지음 ; 정명환 옮김,민음사,808-세계문민-v.189,9788937461897 
BN0000023890,분노의 포도 . 2 ,존 언스트 스타인벡 지음 ; 김승욱 옮김,민음사,808-세계문민-v.175,9788937461750 
BN0000023886,모든 것이 산산이 부서지다 ,치누아 아체베 지음 ; 조규형 옮김,민음사,808-세계문민-v.171,9788937461712 
BN0000023882,파리의 우울 ,샤를 피에르 보들레르 지음 ; 윤영애 옮김,민음사,808-세계문민-v.168,9788937461682 
BN0000023880,삼국유사 ,일연 지음 ; 김원중 옮김,민음사,808-세계문민-v.166,9788937461668 
BN0000023877,운명의 딸 . 1 ,이사벨 아옌데 지음 ; 권미선 옮김,민음사,808-세계문민-v.163,9788937461637 
BN0000023876,마사 퀘스트 ,도리스 레싱 지음 ; 나영균 옮김,민음사,808-세계문민-v.162,9788937461620 
BN0000023749,"달기지 알파 . 2 , 니나 대장 실종사건 ",스튜어트 깁스 지음 ; 이도영 옮김,미래인:,808.3-청소년미-v.54,9788983948366 
BN0000023724,불량엄마 굴욕사건 ,비키 그랜트 지음 ; 이도영 옮김,미래인:,808.3-청소년미-v.18,9788983946850 
BN0000023723,통조림을 열지 마시오 ,알렉스 쉬어러 지음 ; 정현정 옮김,미래인:,808.3-청소년미-v.16,9788983946836 
BN0000023722,쌍꺼풀 ,안나 지음 ; 김선희 옮김,미래인:,808.3-청소년미-v.14,9788983946775 
BN0000023721,초콜릿 레볼루션 ,알렉스 쉬어러 지음 ; 이주혜 옮김,미래인:,808.3-청소년미-v.12,9788983946553 
BN0000023250,맘브루 : R.H. 모레노 두란 장편소설 ,R. H. 모레노 두란 지음 ; 송병선 옮김,문학동네,808-세계문문-v.127,9788954634144 
BN0000023249,수고양이 무어의 인생관 ,E. T. A. 호프만 지음 ; 박은경 옮김,문학동네,808-세계문문-v.126,9788954634229 
BN0000023248,붉은 밤의 도시들 : 윌리엄 바로스 장편소설 ,윌리엄 버로스 지음 ; 박인찬 옮김,문학동네,808-세계문문-v.125,9788954626422 
BN0000023247,강 동쪽의 기담 : 나가이 가후 소설 ,나가이 가후 지음 ; 정병호 옮김,문학동네,808-세계문문-v.124,9788954626286 
BN0000023246,현기증 감정들 : W.G. 제발트 장편소설 ,W. G. 제발트 지음 ; 배수아 옮김,문학동네,808-세계문문-v.123,9788954626125 
BN0000023242,킴 : 러디어드 키플링 장편소설 ,러디어드 키플링 지음 ; 하창수 옮김,문학동네,808-세계문문-v.12,9788954609135 
BN0000023240,미국의 목가 . 2 : 필립 로스 장편소설 ,필립 로스 지음 ; 정영목 옮김,문학동네,808-세계문문-v.118,9788954624213 
BN0000023236,돈 카를로스 : 스페인의 왕세자 ,프리드리히 실러 지음 ; 안인희 옮김,문학동네,808-세계문문-v.114,9788954623834 
BN0000023233,불타버린 지도 : 아베 고보 장편소설 ,아베 고보 지음 ; 이영미 옮김,문학동네,808-세계문문-v.111,9788954622295 
BN0000023232,은둔자 ,막심 고리키 지음 ; 이강은 옮김,문학동네,808-세계문문-v.110,9788954621885 
BN0000023221,열세 걸음 ,모옌 지음 ; 임홍빈 옮김,문학동네,808-세계문문-v.100,9788954619554 
BN0000023220,파우스트 . 2 ,요한 볼프강 폰 괴테 지음 ; 이인웅 옮김,문학동네,808-세계문문-v.10,9788954609111 
BN0000023217,근대여성작가선,"김명순 , 나혜석 , 김일엽 , 이선희 , 임순득 지음",문학과지성사,810.82-한국문문1-v.47,9788932038445 
BN0000023216,한국 현대희곡선 ,"김우진 , 김명순 , 유치진 , 함세덕 , 오영진 , 차범석 , 최인훈 , 이현화 , 이강백 지음",문학과지성사,810.82-한국문문1-v.45,9788932038773 
BN0000022721,나의 마지막 영어공부 : 우리는 왜 영어공부에 성공하지 못했을까? ,박소운 지음,원앤원북스,740.7-박소운나,9791170433248 
BN0000022717,나는 생각하고 말하는 사람이 되기로 했다 : 말에 품격을 더하는 언어 감수성 수업 ,홍승우 지음,웨일북,710.13-홍승우나,9791190313933 
BN0000022714,기적의 콘텐츠 영어 수업 : 모국어처럼 영어를 듣고 말하는 1일 1영상 보기의 힘 ,이해성 지음,다산북스,740.7-이해성기,9791130631820 
BN0000022707,국어 1등급의 비밀 : 초등부터 시작하는 단계별 국어 공부 로드맵 ,민태윤 지음,더블북,710.7-민태윤국,9791191194609 
BN0000022703,(이야기와 뉘앙스로 배우는)관용어의 세계 ,고이즈미 마키오 지음 ; 곽범신 옮김,로그인,744.4-고이즈관,9791169518291 
BN0000022702,(걸어 다니는)표현 사전 : 모든 영어 숙어에는 이야기가 있다 ,앤드루 톰슨 지음 ; 오수원 옮김,윌북,"744.4-톰슨,표",9791155814048 
BN0000022700,거시기 머시기 ,이어령 지음,김영사,701-이어령거,9788934961628 
BN0000022694,K 문학의 탄생 : 한국문학을 K 문학으로 만든 번역 이야기 ,"조의연 외 지음 ; 조의연 , 이상빈 엮음",김영사,701.7-조의연케,9788934943174 
BN0000022691,(현직 동시통역사에게 직접 배우는)66일 영어회화 비밀과외 ,장경미 지음,길벗이지톡,747.5-장경미육,9791165214937 
BN0000022687,1일 1표현 : 영어로 말하는 가장 쉬운 방법 ,마스터유진 지음,교보문고,747.5-마스터일,9791159096310 
BN0000022678,100％ 네이티브 영국 영어 : 진짜 생생한 영국 영어를 체험하다 ,브릿센트 지음,넥서스,747.5-브릿센백,9791166833014 
BN0000022670,"(해커스톡)영어회화 10분의 기적 . [2] , 아는 단어로 말하기 ",해커스 어학연구소 지음,해커스어학연구소,747.5-해커스영-v.2,9788965422938 
BN0000022667,"(해커스)중국어회화 10분의 기적 . [2] , 상황별로 말하기 ",해커스 중국어연구소 엮음,해커스어학연구소,727.5-해커스중-v.2,9788965422891 
BN0000022661,후 불어 꿀떡 먹고 꺽! : 처음 맛보는 의성의태어·이야기 ,장세이 지음,유유,714-장세이후,9791185152554 
BN0000022659,하루 한문 공부 : 우리말 문해력을 높이는 한문교양 365 ,임자헌 지음,유유,711.47-임자헌하,9791167700537 
BN0000022658,하루 영어교양 : 매일 한 줄로 익히는 서양 문화 상식 365 ,서미석 지음,유유,744-서미석하,9791167700216 
BN0000022650,세계 역사 이야기 영어 리딩 훈련 . 1 : 현대 ,"수잔 와이즈 바우어 , 지소철 , 심금숙 지음",윌북,747.2-바우어세-v.7,9791155810514 
BN0000022649,세계 역사 이야기 영어 리딩 훈련 . 2 : 중세 ,"수잔 와이즈 바우어 , 지소철 , 심금숙 지음",윌북,747.2-바우어세-v.4,9791155810460 
BN0000022648,세계 역사 이야기 영어 리딩 훈련 . 1 : 중세 ,"수잔 와이즈 바우어 , 지소철 , 심금숙 지음",윌북,747.2-바우어세-v.3,9791155810453 
BN0000022647,세계 역사 이야기 영어 리딩 훈련 . 2 : 근대 ,"수잔 와이즈 바우어 , 지소철 , 심금숙 지음",윌북,747.2-바우어세-v.6,9791155810491 
BN0000022646,세계 역사 이야기 영어 리딩 훈련 . 1 : 근대 ,"수잔 와이즈 바우어 , 지소철 , 심금숙 지음",윌북,747.2-바우어세-v.5,9791155810484 
BN0000022645,세계 역사 이야기 영어 리딩 훈련 . 2 : 고대 ,"수잔 와이즈 바우어 , 지소철 , 심금숙 지음",윌북,747.2-바우어세-v.2,9791155810408 
BN0000020771,멕시코 라틴 푸드 트립 : 집에서 즐기는 라틴아메리카 현지 음식 ,김예리 지음,시대인,594.544-김예리멕,9791138319423 
BN0000020769,먹는 거로 취업하자 ,"고석영 , 김건희 , 홍세연 , 김원영 , 임승연 , 권윤경 , 박서희 , 조새로아 , 김송이 , 김충식 , 황철순 , 명성희 , 박경화 , 윤태성 지음",지식과감성#,325.33-고석영먹,9791139201642 
BN0000020768,맥주도 취미가 될 수 있나요 : 맥주를 보다 맛있게 즐길 수 있는 최고의 방법 ,음미하다 글·그림,북폴리오,573.42-음미하맥,9791164132058 
BN0000020767,맥두걸 박사의 자연식물식 : 살 안찌고 사는 법 ,존 맥두걸 지음 ; 강신원 옮김,사이몬북스,512.54-맥두걸맥,9791187330073 
BN0000020764,매일매일 유해화학물질 : 유해환경 시대를 사는 우리가 알아야 할 최소한의 지식 ,"이동수 , 이수경 , 김찬국 , 장영기 지음",휴,518.9-이동수매,9791172130770 
BN0000020761,매일 잘 자고 싶은 사람들을 위한 책 : 망가진 수면 패턴을 회복하는 8주 숙면 훈련 ,제이드 우 지음 ; 제효영 옮김,심심,"517.31-우,매",9791172540180 
BN0000020750,"말기 암 진단 10년, 건강하게 잘 살고 있습니다 : 주마니아의 암 자연치유 ",주마니아 지음,에디터,513.994-주마니말,9788967442491 
BN0000020747,"마이크로바이옴, 건강과 노화의 비밀 : 미생물과의 공생 네트워크 ","브렛 핀레이 , 제시카 핀레이 지음 ; 김규원 옮김",파라사이언스,511.5-핀레이마,9791188509621 
BN0000020746,마음챙김 미술관 : 20가지 키워드로 읽는 그림 치유의 시간 ,김소울 지음,타인의사유,512.515-김소울마,9791192290270 
BN0000020744,마음이 아픈 사람들 : 정신질환을 낙인 찍는 사회에서 살아간다는 것 ,토머스 인셀 지음 ; 진영인 옮김,책읽는수요일,"513.85-인셀,마",9788986022780 
BN0000020737,"리페어 컬쳐 : 쓰고 버리는 시대, 잃어버린 것들을 회복하는 삶 ",볼프강 M. 헤클 지음 ; 조연주 옮김,양철북,"539.49-헤클,리",9788963723525 
BN0000020736,로봇의 자리 : 사람이 아닌 것들과 함께 사는 방법 ,전치형 지음,이음,559.962-전치형로,9791190944342 
BN0000020735,레몬과 식초로 맛을 낸 간단 건강 요리 ,후지이 메구미 지음 ; 백현숙 옮김,팬앤펜,594.6-후지이레,9791191739121 
BN0000020699,대한민국 돼지 이야기 = The story of K-pork : 돼지는 어쩌다가 우리 밥상과 술상에 매일 오르게 되었을까 ,"최승철 , 김태경 지음",팬앤펜,527.44-최승철대,9791191739008 
BN0000020698,대한민국 동네 약국 사용 설명서 : 6명의 약사가 알려주는 동네 약국 활용법 ,늘픔약국 지음 ; 신병근 일러스트,생각비행,518.12-늘픔약대,9791189576684 
BN0000020696,대장간 이야기 : 첨단 기술의 원점을 찾아서 ,정진오 지음,교유서가:,583-정진오대,9791193710241 
BN0000020693,대바늘 비침무늬 패턴집 280 : 280가지 무늬와 11가지 손뜨개 소품 ,일본 보그사 지음 ; 남궁가윤 옮김,한스미디어,592.27-일본보대1,9791160075465 
BN0000020691,당질 중독 : 올바른 탄수화물 조절로 내 몸 리셋 ,마키타 젠지 지음 ; 박유미 옮김,문예춘추사,517.52-마키타당,9788976045256 
BN0000020690,당을 끊는 식사법 : 3개월 만에 17kg 뺀 의사의 체험 ,니시와키 슌지 지음 ; 박유미 옮김,솔트앤씨드,517.52-니시와당,9791195372911 
